FIPS_PLACE,dem,rep,dem_share,FIPS_ST
3000,31897,52323,37.87343,2
3110,347,655,34.63074,2
3220,20,76,20.83333,2
3880,9,18,33.33333,2
5000,733,3829,16.06751,2
5200,169,229,42.46231,2
6520,745,606,55.14434,2
7070,535,2494,17.66259,2
12920,1132,1413,44.47937,2
13890,0,0,,2
14330,12,15,44.44444,2
14880,11,25,30.55556,2
16360,20,58,25.64103,2
16750,1615,2283,41.4315,2
17410,328,441,42.6528,2
17740,199,229,46.49533,2
18620,54,286,15.88235,2
18925,347,342,50.36284,2
21810,12,29,29.26829,2
24230,2264,4436,33.79104,2
24980,662,1124,37.06607,2
25550,680,2838,19.32916,2
28200,612,2639,18.82498,2
33140,684,938,42.17016,2
33800,89,396,18.35052,2
33910,19,11,63.33333,2
36400,5107,4470,53.32568,2
37250,403,1260,24.23331,2
38420,449,1613,21.77498,2
38910,55,140,28.20513,2
38970,918,1380,39.94778,2
39630,38,128,22.89157,2
40510,15,33,31.25,2
40645,345,1459,19.12417,2
40950,563,1037,35.1875,2
42832,113,461,19.68641,2
45460,37,45,45.12195,2
46560,41,56,42.26804,2
47735,571,2739,17.25076,2
47990,25,46,35.21127,2
48540,17,18,48.57143,2
49530,22,50,30.55556,2
53270,41,62,39.80583,2
54050,143,675,17.48166,2
54150,17,27,38.63636,2
55910,120,455,20.86957,2
56350,50,42,54.34783,2
56680,62,63,49.6,2
57340,26,35,42.62295,2
58660,391,1072,26.72591,2
59320,57,222,20.43011,2
60310,465,675,40.78947,2
60750,73,92,44.24242,2
60860,8,16,33.33333,2
62510,12,11,52.17391,2
65345,227,969,18.97993,2
65800,18,19,48.64865,2
66470,43,85,33.59375,2
67570,83,60,58.04196,2
68370,79,88,47.30539,2
68560,242,380,38.90675,2
70540,1567,1500,51.09227,2
71640,258,881,22.65145,2
72985,559,1492,27.255,2
73070,101,518,16.31664,2
74350,120,268,30.92784,2
75050,134,410,24.63235,2
78240,120,37,76.43312,2
79120,34,62,35.41667,2
79230,61,20,75.30864,2
82200,261,570,31.40794,2
83080,354,1589,18.21925,2
85280,215,566,27.52881,2
86380,235,608,27.87663,2
460,1559,1745,47.18523,1
820,3431,9814,25.90411,1
988,489,1803,21.33508,1
1132,2080,2770,42.8866,1
1660,58,229,20.20906,1
1852,6528,4901,57.11786,1
2116,785,3752,17.30218,1
2320,1148,5500,17.26835,1
2860,38,229,14.23221,1
2908,278,1361,16.96156,1
3004,1661,1917,46.42258,1
3028,591,650,47.62288,1
3076,8617,12129,41.53572,1
3676,75,315,19.23077,1
3820,92,387,19.20668,1
4660,480,30,94.11765,1
4684,196,400,32.88591,1
4948,41,173,19.15888,1
5980,8888,1834,82.89498,1
7000,88787,17486,83.54615,1
7588,39,145,21.19565,1
7912,622,2610,19.24505,1
9400,1620,10,99.3865,1
9500,1465,4349,25.1978,1
10240,672,104,86.59794,1
11416,873,1989,30.50314,1
12016,353,610,36.65628,1
13264,977,514,65.52649,1
13672,666,447,59.83827,1
14008,195,506,27.8174,1
14104,495,3480,12.45283,1
14392,872,1688,34.0625,1
15136,1126,3895,22.42581,1
17176,323,517,38.45238,1
18040,144,195,42.47788,1
18088,193,946,16.94469,1
18976,253,1241,16.9344,1
19336,170,847,16.71583,1
19360,59,388,13.19911,1
19648,608,1770,25.5677,1
19744,160,605,20.91503,1
20104,7999,14680,35.27051,1
20296,1137,1924,37.14472,1
21136,356,872,28.99023,1
21184,8428,16492,33.82022,1
21328,131,516,20.2473,1
21890,981,4022,19.60824,1
23880,383,1703,18.3605,1
24184,1117,634,63.79212,1
24568,2645,3074,46.24934,1
24664,990,194,83.61486,1
24808,748,528,58.62069,1
25120,5022,149,97.11855,1
25240,2821,8419,25.09786,1
26896,6153,8021,43.41047,1
26992,729,1747,29.44265,1
27088,2468,758,76.50341,1
28552,480,1197,28.62254,1
28696,7043,10921,39.20619,1
29464,471,1559,23.20197,1
30496,261,1524,14.62185,1
30640,244,77,76.01246,1
30736,353,638,35.62059,1
31096,30,111,21.2766,1
31348,928,2456,27.42317,1
31384,402,666,37.64045,1
31720,396,162,70.96774,1
32080,400,173,69.80803,1
32248,60,424,12.39669,1
32416,945,2610,26.58228,1
32440,197,457,30.12232,1
32848,289,1272,18.51377,1
