FIPS_PLACE,dem,rep,dem_share,FIPS_ST
33448,1061,4777,18.17403,1
33472,889,991,47.28723,1
34024,1400,4768,22.6978,1
34984,230,2,99.13793,1
35392,459,2153,17.57274,1
35704,2485,1894,56.74812,1
35752,765,2443,23.84663,1
35800,2817,4039,41.0881,1
35896,5265,17807,22.81987,1
36448,2477,5087,32.74722,1
36592,2080,3659,36.24325,1
37000,39642,40247,49.62135,1
37096,229,59,79.51389,1
37465,346,1805,16.08554,1
37864,963,2468,28.06762,1
38152,880,390,69.29134,1
38272,2145,2902,42.5005,1
38416,1740,3758,31.64787,1
38608,414,1183,25.92361,1
39088,89,361,19.77778,1
39280,39,127,23.49398,1
40072,304,426,41.64384,1
41968,1362,3128,30.33408,1
43264,71,247,22.32704,1
43336,2224,156,93.44538,1
44608,202,233,46.43678,1
44728,226,722,23.83966,1
45208,2357,3507,40.19441,1
45316,188,38,83.18584,1
45784,5833,11370,33.90688,1
46192,133,226,37.04735,1
47740,324,1808,15.197,1
48112,846,1957,30.18195,1
48400,327,570,36.45485,1
48712,818,1257,39.42169,1
50000,52177,39570,56.87052,1
50192,1095,1282,46.06647,1
51000,52060,31125,62.5834,1
51216,862,1041,45.2969,1
51456,121,1294,8.551237,1
51468,86,462,15.69343,1
51600,478,837,36.34981,1
51648,94,150,38.52459,1
51696,3145,10439,23.15224,1
52344,1144,6633,14.71004,1
53016,2477,4892,33.61379,1
53856,183,260,41.30926,1
54480,155,746,17.20311,1
55200,3268,5957,35.42547,1
55440,455,426,51.64586,1
55848,72,15,82.75862,1
55992,266,512,34.19023,1
56400,967,5557,14.82219,1
57000,563,1947,22.43028,1
57048,5616,6688,45.64369,1
57144,619,3093,16.67565,1
57576,1431,4121,25.7745,1
57648,219,739,22.86013,1
58848,713,1998,26.30026,1
58896,879,3555,19.82409,1
59016,361,320,53.01028,1
59472,3782,2858,56.95783,1
59592,149,66,69.30233,1
59640,552,1656,25,1
60264,298,1984,13.05872,1
60648,1905,3741,33.7407,1
61488,310,548,36.13054,1
62328,2669,8034,24.93693,1
62496,9858,1077,90.15089,1
63288,92,560,14.11043,1
63730,384,1798,17.59853,1
63984,56,302,15.64246,1
67056,466,1162,28.62408,1
67176,146,262,35.78431,1
67536,271,753,26.46484,1
68160,1826,4632,28.27501,1
68280,157,725,17.80045,1
68736,1662,4260,28.06484,1
69120,5872,1466,80.0218,1
69648,1963,1928,50.44976,1
71201,148,1021,12.66039,1
71976,307,1427,17.70473,1
73056,92,712,11.44279,1
73152,54,557,8.837971,1
73728,119,272,30.43478,1
74352,2378,3565,40.01346,1
74424,62,541,10.28192,1
74688,140,718,16.31702,1
74976,1211,749,61.78571,1
76208,400,1159,25.65747,1
76320,793,3123,20.25026,1
76584,68,102,40,1
76680,511,2548,16.70481,1
76872,114,608,15.78947,1
76920,1343,2275,37.11996,1
76944,672,4579,12.79756,1
77256,16331,10272,61.38781,1
77280,141,280,33.49169,1
77304,1502,132,91.92166,1
77580,464,1038,30.89214,1
77784,134,545,19.7349,1
78264,26,220,10.56911,1
78552,3261,10304,24.03981,1
79008,329,562,36.9248,1
79728,53,338,13.55499,1
80352,641,2204,22.53076,1
80376,177,579,23.4127,1
81720,525,1536,25.47307,1
82176,144,670,17.69042,1
82872,144,196,42.35294,1
83640,128,1072,10.66667,1
870,551,562,49.50584,4
1170,51,106,32.48408,4
2430,3684,7778,32.14099,4
2830,4582,6482,41.41359,4
3530,667,997,40.08413,4
4720,9168,7213,55.96728,4
4880,908,1714,34.63005,4
5450,55,296,15.66952,4
5770,1173,2194,34.83813,4
6260,221,216,50.57208,4
7940,4201,6447,39.45342,4
8220,3282,4765,40.78539,4
9690,1084,2273,32.29074,4
10180,1269,2475,33.89423,4
10530,6546,8483,43.55579,4
10670,12906,14835,46.5232,4
11160,1103,1474,42.80171,4
11230,17761,16172,52.34138,4
12000,38599,45372,45.96706,4
12770,759,194,79.64323,4
12840,1408,3749,27.3027,4
13890,399,615,39.34911,4
14380,301,486,38.24651,4
14870,35,708,4.710633,4
15500,974,1740,35.88799,4
15920,446,524,45.97938,4
16030,1212,2053,37.12098,4
16410,2107,2807,42.87749,4
19145,385,848,31.22466,4
19740,1788,2258,44.19179,4
20050,1384,568,70.90164,4
20540,6145,3647,62.75531,4
20960,287,1237,18.83202,4
21545,263,696,27.4244,4
21980,274,235,53.83104,4
22220,4323,4224,50.57915,4
22360,1277,1485,46.23461,4
23620,16978,10337,62.15632,4
23760,412,475,46.4487,4
23960,1692,1852,47.74266,4
24895,542,985,35.49443,4
25030,1701,3481,32.82516,4
25300,4819,8350,36.59352,4
27400,26714,47305,36.09073,4
27820,32753,40563,44.67374,4
28030,1761,2940,37.46011,4
28120,2499,4012,38.3812,4
28195,700,1218,36.49635,4
28380,8833,12505,41.39563,4
29710,3035,3496,46.47068,4
30270,1692,814,67.51796,4
31182,137,27,83.53659,4
32020,209,34,86.00823,4
33280,264,316,45.51724,4
33440,377,763,33.07018,4
37200,429,511,45.6383,4
37620,3219,7115,31.1496,4
39370,5125,11982,29.9585,4
41330,1380,2326,37.23691,4
43430,96,37,72.18045,4
44270,7129,10208,41.12015,4
44410,6306,6419,49.55599,4
46000,57996,93762,38.21611,4
46350,211,157,57.33696,4
47400,197,403,32.83333,4
48310,246,108,69.49153,4
49270,724,1064,40.49217,4
49360,631,1712,26.93128,4
49640,3555,1192,74.8894,4
51600,10996,15739,41.12961,4
51810,736,1216,37.70492,4
52930,3030,4977,37.84189,4
53070,151,281,34.9537,4
53560,529,1430,27.00357,4
53700,1767,4186,29.68251,4
54050,18172,29612,38.02947,4
55000,217262,208490,51.03018,4
55300,1446,2117,40.58378,4
55700,439,1151,27.61006,4
55880,364,897,28.86598,4
55980,219,531,29.2,4
57380,9219,13950,39.79024,4
57450,6014,11872,33.62406,4
58150,986,2189,31.05512,4
58290,146,245,37.34015,4
60120,718,1284,35.86414,4
60250,248,851,22.56597,4
61940,2658,3951,40.21788,4
62000,1212,2649,31.39083,4
62140,4480,5809,43.54165,4
62700,144,375,27.74566,4
63470,2833,406,87.46527,4
63540,1108,844,56.7623,4
64210,5730,9190,38.40483,4
65000,48677,65080,42.79033,4
65350,1602,1211,56.94988,4
65490,184,34,84.40367,4
66470,898,2320,27.90553,4
66820,5878,10209,36.53882,4
66845,2154,5077,29.78841,4
67800,84,560,13.04348,4
68850,803,192,80.70352,4
70240,213,105,66.98113,4
70320,9731,15055,39.26007,4
70355,6580,10906,37.6301,4
70530,3671,6252,36.99486,4
71510,17749,26335,40.26177,4
72000,3616,5534,39.51913,4
72420,114,789,12.62458,4
73000,35377,26812,56.88627,4
73420,124,550,18.39763,4
73700,1053,988,51.59236,4
76010,1595,427,78.88229,4
77000,109002,72455,60.07043,4
77035,2616,2525,50.88504,4
78760,1091,814,57.27034,4
78865,306,751,28.94986,4
79830,802,1049,43.32793,4
82740,471,1190,28.35641,4
83160,241,371,39.37908,4
83388,661,1800,26.859,4
83570,384,651,37.10145,4
83720,566,194,74.47368,4
83930,195,152,56.19597,4
83960,81,57,58.69565,4
85540,9499,15556,37.91259,4
135,540,255,67.92453,6
156,30,47,38.96104,6
212,378,807,31.89873,6
296,3276,1700,65.83601,6
310,26,44,37.14286,6
394,6505,4492,59.1525,6
450,574,1211,32.15686,6
464,100,155,39.21569,6
478,387,748,34.09692,6
535,158,69,69.60352,6
562,27199,7236,78.9865,6
618,4579,4540,50.21384,6
674,7763,839,90.24645,6
716,39,0,100,6
786,21,15,58.33333,6
884,16898,7798,68.42404,6
898,325,279,53.80795,6
947,10371,8764,54.19911,6
982,7,7,50,6
996,299,404,42.53201,6
1010,21,5,80.76923,6
1094,0,1,0,6
1150,1645,1046,61.12969,6
1164,26,38,40.625,6
1192,2286,4789,32.31095,6
1228,38,18,67.85714,6
1276,107,160,40.07491,6
1290,17228,4230,80.28707,6
1360,1822,2387,43.28819,6
1416,342,41,89.29504,6
1444,454,738,38.08725,6
1458,2808,751,78.89857,6
1514,64,49,56.63717,6
1640,4328,1830,70.28256,6
1651,838,298,73.76761,6
2000,47229,42441,52.66979,6
2028,151,30,83.42541,6
2042,1296,1814,41.67203,6
2112,770,955,44.63768,6
2168,630,415,60.28708,6
2210,8152,7010,53.76599,6
2252,24227,10377,70.01214,6
2294,324,510,38.84892,6
2364,9355,15622,37.45446,6
2378,2878,960,74.98697,6
2382,1036,388,72.75281,6
2420,333,358,48.19103,6
2462,10344,10065,50.68352,6
2476,7748,1290,85.72693,6
2553,23529,17042,57.99463,6
2700,456,484,48.51064,6
2770,959,943,50.42061,6
2812,829,399,67.50814,6
2868,4668,4886,48.85912,6
2896,2749,1634,62.7196,6
2910,37,94,28.24427,6
2924,1577,566,73.58843,6
2980,4313,895,82.8149,6
3026,3,2,60,6
3064,6500,7263,47.22808,6
3092,2352,1752,57.30994,6
3162,3409,3047,52.80359,6
3190,216,480,31.03448,6
3204,3718,3521,51.36069,6
3205,817,1131,41.94045,6
3209,837,372,69.23077,6
3274,644,526,55.04274,6
3302,678,328,67.39563,6
3316,158,130,54.86111,6
3330,616,459,57.30233,6
3344,3408,1305,72.31063,6
3386,7681,3992,65.80142,6
3512,52,84,38.23529,6
3526,45112,58385,43.58774,6
3666,13134,3843,77.36349,6
3694,122,149,45.01845,6
3708,41,61,40.19608,6
3792,117,155,43.01471,6
3820,4839,5317,47.64671,6
4030,3003,2894,50.9242,6
4198,144,254,36.1809,6
4415,3840,1123,77.37256,6
4470,512,164,75.73964,6
4478,539,444,54.83215,6
4576,97,103,48.5,6
4632,26,19,57.77778,6
4716,74,48,60.65574,6
4730,15,39,27.77778,6
4734,842,2193,27.743,6
4758,4697,4938,48.74935,6
4772,78,154,33.62069,6
4856,2,3,40,6
4870,4048,850,82.64598,6
4926,441,1024,30.10239,6
4938,599,505,54.25725,6
4982,13760,6896,66.61503,6
4996,5884,1029,85.115,6
5108,8858,3174,73.62035,6
5164,1012,496,67.10875,6
5262,86,31,73.50427,6
5276,127,204,38.36858,6
5290,9924,4886,67.00878,6
5332,2702,879,75.45378,6
5346,10,14,41.66667,6
6000,61134,3243,94.96249,6
6028,1215,1733,41.21438,6
6070,330,373,46.94168,6
6210,523,395,56.97168,6
6308,9983,6501,60.56176,6
6336,21,50,29.57746,6
6406,1962,3085,38.87458,6
6434,980,1662,37.09311,6
6475,18,18,50,6
6518,12,42,22.22222,6
6560,237,335,41.43357,6
6567,37,11,77.08333,6
6616,373,472,44.14201,6
6635,131,224,36.90141,6
6728,107,25,81.06061,6
6798,707,665,51.53061,6
6928,2663,2851,48.29525,6
6935,274,407,40.23495,6
6982,598,278,68.26484,6
6994,12,8,60,6
7036,136,61,69.03553,6
7064,2929,1311,69.08019,6
7162,376,161,70.01862,6
7218,1588,1653,48.99722,6
7246,116,25,82.2695,6
7260,494,188,72.43402,6
7274,287,508,36.10063,6
7316,906,50,94.76987,6
7372,44,26,62.85714,6
7379,1410,2753,33.86981,6
7414,3031,3301,47.86797,6
7470,1430,271,84.0682,6
7498,664,1213,35.3756,6
7512,185,62,74.89879,6
7525,200,336,37.31343,6
7568,316,472,40.10152,6
7578,284,65,81.37536,6
7596,554,462,54.52756,6
7624,2276,2815,44.70634,6
7652,2085,533,79.64095,6
7694,36,97,27.06767,6
7750,17,28,37.77778,6
7848,1684,445,79.09817,6
7946,221,306,41.93548,6
7974,17,35,32.69231,6
8058,3684,2430,60.25515,6
8100,7648,10253,42.72387,6
8142,11403,8294,57.89206,6
8172,418,137,75.31532,6
8240,57,137,29.38144,6
8310,1459,359,80.25303,6
8338,1236,391,75.96804,6
8478,919,295,75.70016,6
8530,1139,450,71.6803,6
8680,541,763,41.48773,6
8716,9,5,64.28571,6
8744,3,12,20,6
8758,1116,1039,51.78654,6
8786,13070,11047,54.19414,6
8828,73,97,42.94118,6
8954,27976,14712,65.53598,6
8968,1184,276,81.09589,6
9066,9116,3568,71.87007,6
9122,397,761,34.28325,6
9150,23,16,58.97436,6
9310,419,283,59.68661,6
9318,10,17,37.03704,6
9324,181,287,38.67521,6
9332,111,109,50.45455,6
9346,174,159,52.25225,6
9353,388,114,77.29084,6
9360,268,234,53.38645,6
9598,7001,4303,61.93383,6
9710,6641,1273,83.91458,6
9780,1459,2178,40.11548,6
9822,2,9,18.18182,6
9834,116,179,39.32203,6
9864,1369,2225,38.09126,6
9878,443,245,64.38953,6
9892,1433,513,73.63823,6
9948,245,254,49.0982,6
9990,148,105,58.49802,6
10004,41,44,48.23529,6
10031,160,48,76.92308,6
10042,164,248,39.80583,6
10044,128,244,34.4086,6
10046,16162,16554,49.4009,6
10074,2347,1454,61.74691,6
10088,1090,571,65.62312,6
10256,3468,5105,40.45258,6
10270,381,474,44.5614,6
10301,380,255,59.84252,6
10345,12020,5031,70.4944,6
10494,20,42,32.25806,6
10508,312,631,33.0859,6
10559,105,167,38.60294,6
10561,215,290,42.57426,6
10676,28,27,50.90909,6
10732,1,18,5.263158,6
10816,44,9,83.01887,6
10914,0,6,0,6
10928,1564,3471,31.06256,6
11040,4140,1065,79.5389,6
11194,26771,26436,50.31481,6
11250,188,114,62.25166,6
11324,1868,698,72.79813,6
11376,19,9,67.85714,6
11390,15339,13999,52.28373,6
11418,194,106,64.66667,6
11446,3709,1858,66.62475,6
11481,36,15,70.58824,6
11530,26758,7846,77.32632,6
11600,11,15,42.30769,6
11614,222,306,42.04545,6
11656,228,235,49.24406,6
11691,4788,5446,46.78523,6
11754,13,14,48.14815,6
11768,361,65,84.74178,6
11782,36,79,31.30435,6
11796,3710,4091,47.55801,6
11915,533,335,61.40553,6
11964,19951,8827,69.32726,6
11978,970,157,86.06921,6
12048,8331,4877,63.07541,6
12062,72,257,21.8845,6
12132,988,722,57.77778,6
12146,128,36,78.04878,6
12300,290,314,48.01325,6
12314,0,1,0,6
12328,72,143,33.48837,6
12412,57,114,33.33333,6
12524,6592,4697,58.39313,6
12552,12636,9510,57.05771,6
12594,106,128,45.29915,6
12612,139,247,36.01036,6
12669,932,682,57.74473,6
12734,1946,1481,56.78436,6
12818,7,13,35,6
12860,11,16,40.74074,6
12902,2649,660,80.0544,6
12916,1099,2030,35.12304,6
12930,354,642,35.54217,6
13014,23452,14073,62.497,6
13077,31,85,26.72414,6
13157,238,567,29.56522,6
13182,22,33,40,6
13210,12142,10808,52.90632,6
13214,14343,15072,48.76084,6
13294,1140,1703,40.09849,6
13364,191,33,85.26786,6
13392,47804,31463,60.30757,6
13560,1765,835,67.88462,6
13588,15721,17662,47.09283,6
13756,11201,6190,64.40688,6
13784,104,144,41.93548,6
13854,182,372,32.85199,6
13882,3591,2827,55.95201,6
13910,54,61,46.95652,6
13945,2644,1362,66.001,6
13966,534,324,62.23776,6
13985,802,572,58.36972,6
14008,270,87,75.63025,6
14106,23,17,57.5,6
14148,29,62,31.86813,6
14190,2592,1103,70.14885,6
14218,14881,21718,40.65958,6
14232,219,134,62.03966,6
14260,3995,742,84.33608,6
14274,1269,1523,45.45129,6
14288,327,583,35.93407,6
14302,588,249,70.2509,6
14406,48,62,43.63636,6
14442,251,202,55.40839,6
14450,121,179,40.33333,6
14454,44,46,48.88889,6
14484,11,21,34.375,6
14498,396,376,51.29534,6
14554,45,37,54.87805,6
14708,354,626,36.12245,6
14736,375,95,79.78723,6
14764,165,139,54.27632,6
14890,8728,3807,69.62904,6
14904,638,646,49.68847,6
14946,818,1128,42.03494,6
14974,3008,660,82.00654,6
15030,41,9,82,6
15044,23165,1068,95.59279,6
16000,32412,15380,67.81888,6
16035,161,160,50.15576,6
16210,663,941,41.33416,6
16224,1428,1051,57.60387,6
16322,784,941,45.44928,6
16350,22071,21950,50.13743,6
16378,3845,5209,42.46742,6
16420,643,752,46.09319,6
16434,883,433,67.09726,6
16462,4420,1006,81.45964,6
16532,20274,17685,53.41026,6
16560,2806,755,78.79809,6
16580,2737,5622,32.74315,6
16630,378,723,34.33243,6
16644,41,57,41.83673,6
16651,2051,1509,57.61236,6
16714,82,63,56.55172,6
16728,192,94,67.13287,6
16742,9831,7368,57.1603,6
16762,26,49,34.66667,6
17022,1132,972,53.80228,6
17050,64,67,48.85496,6
17078,42,60,41.17647,6
17106,512,981,34.29337,6
17162,1979,2643,42.81696,6
17204,43,38,53.08642,6
17232,11,29,27.5,6
17267,64,60,51.6129,6
17274,1275,344,78.75232,6
17288,69,108,38.98305,6
17372,310,187,62.37425,6
17428,40,55,42.10526,6
17498,2542,462,84.62051,6
17568,15768,4199,78.9703,6
17610,15820,6252,71.67452,6
17708,313,81,79.44162,6
17722,786,725,52.01853,6
17727,2,5,28.57143,6
17750,9801,10691,47.82842,6
17918,20896,6754,75.57324,6
17946,8283,9105,47.6363,6
17988,13608,10740,55.8896,6
17995,69,242,22.1865,6
18030,24,8,75,6
18086,127,18,87.58621,6
18100,23866,5684,80.76481,6
18153,1561,634,71.11617,6
18324,482,270,64.09574,6
18352,2360,1430,62.26913,6
18394,4602,1877,71.02948,6
18450,20,9,68.96552,6
18464,1044,562,65.00623,6
18485,125,188,39.9361,6
18506,1782,985,64.40188,6
18590,1541,1393,52.52215,6
18674,167,40,80.67633,6
18688,617,271,69.48198,6
18695,219,593,26.97044,6
18856,624,1014,38.09524,6
18926,19,91,17.27273,6
18940,280,559,33.37306,6
18982,25,44,36.23188,6
18986,532,543,49.48837,6
18996,3104,1980,61.05429,6
19022,2472,2764,47.21161,6
19024,70,57,55.11811,6
19052,284,306,48.13559,6
19150,325,471,40.82915,6
19155,118,96,55.14019,6
19192,12185,9548,56.06681,6
19220,2271,3346,40.43083,6
19262,119,47,71.68675,6
19318,2007,1690,54.28726,6
19339,2613,2973,46.77766,6
19402,3726,3144,54.23581,6
19406,530,783,40.36558,6
19416,98,108,47.57282,6
19440,292,656,30.80169,6
19455,572,266,68.25776,6
19570,149,119,55.59701,6
19584,72,189,27.58621,6
19612,617,561,52.37691,6
19654,27,20,57.44681,6
19724,158,152,50.96774,6
19766,21749,12646,63.23303,6
19794,77,77,50,6
19878,34,84,28.81356,6
19976,46,68,40.35088,6
19990,5363,2830,65.45832,6
20018,11101,5451,67.06742,6
20032,37,46,44.57831,6
20228,14,6,70,6
20242,471,284,62.38411,6
20270,1053,1930,35.30003,6
20284,37,172,17.70335,6
20298,47,27,63.51351,6
20424,0,19,0,6
20438,562,135,80.63128,6
20598,2591,1185,68.61758,6
20697,2216,3271,40.38637,6
20746,2040,2059,49.76824,6
20802,20404,2898,87.5633,6
20900,42,80,34.42623,6
20907,514,1169,30.5407,6
20928,301,347,46.45062,6
20942,23,14,62.16216,6
20956,4803,425,91.8707,6
20984,1458,991,59.5345,6
21012,307,315,49.35691,6
21026,627,673,48.23077,6
21034,2489,152,94.2446,6
21061,1736,212,89.11704,6
21096,2274,1807,55.72164,6
21138,48,53,47.52475,6
21188,495,590,45.62212,6
21210,63,99,38.88889,6
21230,6679,4579,59.3267,6
21530,16,12,57.14286,6
21558,34,19,64.15094,6
21565,46,67,40.70796,6
21600,62,100,38.2716,6
21712,14493,16045,47.4589,6
21782,6561,3848,63.03199,6
21796,10827,1594,87.16689,6
21810,767,1015,43.04153,6
21880,8648,11514,42.89257,6
21894,420,131,76.22505,6
21936,2139,714,74.97371,6
21964,281,493,36.30491,6
22006,26,75,25.74257,6
22020,33586,23511,58.82271,6
22034,438,221,66.46434,6
22146,52,40,56.52174,6
22230,14674,5459,72.88531,6
22286,16,15,51.6129,6
22300,5524,6796,44.83766,6
22328,210,29,87.86611,6
22360,17,10,62.96296,6
22370,1350,449,75.04169,6
22412,4543,3959,53.43449,6
22454,4045,1135,78.0888,6
22457,2209,2284,49.16537,6
22510,1222,377,76.42276,6
22524,676,1091,38.25693,6
22587,1792,710,71.6227,6
22594,4204,399,91.33174,6
22622,547,365,59.97807,6
22678,20407,12364,62.27152,6
22790,1135,1767,39.11096,6
22804,19325,22759,45.92006,6
22846,442,347,56.02028,6
22972,111,165,40.21739,6
23000,807,1648,32.87169,6
23042,7197,3819,65.33224,6
23126,1041,1971,34.56175,6
23150,602,1136,34.63751,6
23168,4360,443,90.7766,6
23182,23078,12496,64.87322,6
23210,135,103,56.72269,6
23294,8123,8963,47.54185,6
23350,3798,1082,77.82787,6
23462,4106,6624,38.26654,6
23532,52,93,35.86207,6
23616,890,515,63.3452,6
23630,10,25,28.57143,6
23812,8,38,17.3913,6
23826,1916,542,77.94955,6
23910,470,366,56.2201,6
23973,1242,299,80.59701,6
23980,58,71,44.96124,6
24008,353,181,66.10487,6
24022,40,16,71.42857,6
24092,2863,1826,61.05779,6
24134,817,348,70.12876,6
24218,17,23,42.5,6
24477,8761,752,92.09503,6
24498,8642,4142,67.60013,6
24526,24,12,66.66667,6
24568,9,29,23.68421,6
24638,14037,16520,45.9371,6
24680,29796,13850,68.26742,6
24722,5716,4496,55.97336,6
24750,44,88,33.33333,6
24764,258,557,31.65644,6
24834,364,474,43.43675,6
24897,325,392,45.32775,6
24918,320,301,51.52979,6
24960,1630,370,81.5,6
25030,13,24,35.13514,6
25058,2069,644,76.26244,6
25114,220,154,58.82353,6
25128,74,117,38.74346,6
25296,2070,2424,46.06142,6
25300,65,117,35.71429,6
25338,8803,3682,70.50861,6
25380,11241,14674,43.37642,6
25436,818,619,56.92415,6
25488,693,455,60.36585,6
25506,35,54,39.32584,6
25534,437,743,37.0339,6
25576,659,187,77.89598,6
25590,13,9,59.09091,6
26000,52717,20151,72.34589,6
26028,301,165,64.59227,6
26056,77,64,54.60993,6
26067,2543,2963,46.18598,6
27000,74172,53920,57.90526,6
27014,92,143,39.14894,6
27080,305,118,72.10402,6
27130,960,254,79.07743,6
27190,75,40,65.21739,6
28000,23902,24191,49.69954,6
28014,119,80,59.79899,6
28021,1,0,100,6
28112,3578,3915,47.75123,6
28154,388,100,79.5082,6
28168,14654,4311,77.26865,6
28182,1265,647,66.16109,6
28210,103,101,50.4902,6
29000,23535,25547,47.95037,6
29070,6,21,22.22222,6
29112,718,362,66.48148,6
29252,4,4,50,6
29350,402,716,35.95707,6
29392,118,137,46.27451,6
29420,276,98,73.79679,6
29504,10210,4744,68.27605,6
29644,2545,1678,60.26521,6
30000,40856,21124,65.91804,6
30014,10235,12811,44.41118,6
30028,418,91,82.12181,6
30282,1128,2822,28.55696,6
30339,26,36,41.93548,6
30345,2350,2579,47.67701,6
30378,9461,4732,66.65962,6
30392,1311,331,79.84166,6
30410,900,341,72.52216,6
30420,11,26,29.72973,6
30476,247,157,61.13861,6
30560,233,299,43.79699,6
30658,2363,2384,49.77881,6
30686,51,131,28.02198,6
30693,4653,7589,38.0085,6
30703,579,1360,29.86075,6
30714,0,2,0,6
30798,3209,2476,56.44679,6
30812,820,156,84.01639,6
30882,130,53,71.03825,6
30900,143,256,35.8396,6
30938,523,1852,22.02105,6
30944,169,238,41.52334,6
30987,415,708,36.95459,6
30994,1861,423,81.47986,6
31029,45,77,36.88525,6
31092,187,278,40.21505,6
31099,484,709,40.56999,6
31134,17,59,22.36842,6
31162,231,213,52.02703,6
31246,34,62,35.41667,6
31260,960,997,49.05468,6
31288,31,46,40.25974,6
31302,180,304,37.19008,6
31372,108,101,51.67464,6
31393,2760,2293,54.62102,6
31414,1049,395,72.64543,6
31470,2312,291,88.82059,6
31540,18,12,60,6
31568,850,616,57.9809,6
31596,11998,7980,60.05606,6
31708,3725,1537,70.79057,6
31883,108,199,35.17915,6
31890,295,97,75.2551,6
31960,6731,8904,43.05085,6
32030,154,168,47.82609,6
32044,693,1458,32.21757,6
32156,9,15,37.5,6
